Chicago, Illinois, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1958-2000
Missing: -99
Date,Value,Anomaly
200101,25.6,3.5
200102,27.2,0.2
200103,35.2,-2.3
200104,53.5,4.5
200105,61.1,1.5
200106,68.4,-0.7
200107,75.6,1.7
200108,74.3,1.8
200109,63.0,-1.9
200110,53.2,-0.1
200111,49.3,9.2
200112,34.4,6.7
200201,33.0,10.9
200202,33.2,6.2
200203,35.6,-1.9
200204,51.0,2.0
200205,56.3,-3.3
200206,72.0,2.9
200207,78.1,4.2
200208,74.2,1.7
200209,68.4,3.5
200210,50.8,-2.5
200211,38.7,-1.4
200212,31.2,3.5
200301,22.4,0.3
200302,24.7,-2.3
200303,37.8,0.3
200304,49.4,0.4
200305,57.3,-2.3
200306,66.5,-2.6
200307,73.4,-0.5
200308,74.7,2.2
200309,64.4,-0.5
200310,52.9,-0.4
200311,42.9,2.8
200312,32.7,5.0
200401,21.4,-0.7
200402,28.5,1.5
200403,42.2,4.7
200404,51.4,2.4
200405,61.1,1.5
200406,68.2,-0.9
200407,72.3,-1.6
200408,68.6,-3.9
200409,67.6,2.7
200410,55.0,1.7
200411,44.8,4.7
200412,29.9,2.2
200501,25.6,3.5
200502,33.5,6.5
200503,36.1,-1.4
200504,52.6,3.6
200505,58.2,-1.4
200506,75.3,6.2
200507,76.7,2.8
200508,75.4,2.9
200509,70.5,5.6
200510,56.2,2.9
200511,43.1,3.0
200512,24.4,-3.3
200601,36.9,14.8
200602,29.3,2.3
200603,39.4,1.9
200604,54.2,5.2
200605,60.7,1.1
200606,69.4,0.3
200607,77.6,3.7
200608,75.4,2.9
200609,63.5,-1.4
200610,50.0,-3.3
200611,43.9,3.8
200612,34.9,7.2
200701,29.0,6.9
200702,19.0,-8.0
200703,43.6,6.1
200704,47.8,-1.2
200705,64.9,5.3
200706,72.1,3.0
200707,74.5,0.6
200708,75.6,3.1
200709,68.9,4.0
200710,59.8,6.5
200711,40.1,0.0
200712,28.6,0.9
200801,24.2,2.1
200802,23.8,-3.2
200803,35.6,-1.9
200804,50.2,1.2
200805,56.2,-3.4
200806,71.5,2.4
200807,74.8,0.9
200808,73.4,0.9
200809,66.9,2.0
200810,53.4,0.1
200811,40.0,-0.1
200812,23.6,-4.1
200901,16.6,-5.5
200902,29.0,2.0
200903,40.4,2.9
200904,48.0,-1.0
200905,60.6,1.0
200906,68.3,-0.8
200907,70.1,-3.8
200908,71.2,-1.3
200909,66.1,1.2
200910,49.6,-3.7
200911,46.1,6.0
200912,27.2,-0.5
201001,22.7,0.6
201002,27.5,0.5
201003,42.5,5.0
201004,55.3,6.3
201005,62.4,2.8
201006,71.9,2.8
201007,78.4,4.5
201008,77.4,4.9
201009,65.9,1.0
201010,56.8,3.5
201011,42.2,2.1
201012,23.2,-4.5
201101,21.4,-0.7
201102,26.9,-0.1
201103,37.1,-0.4
201104,48.4,-0.6
201105,58.6,-1.0
201106,70.2,1.1
201107,79.8,5.9
201108,74.2,1.7
201109,62.9,-2.0
201110,55.3,2.0
201111,45.3,5.2
201112,35.7,8.0
201201,30.7,8.6
201202,33.3,6.3
201203,53.9,16.4
201204,51.1,2.1
201205,66.0,6.4
201206,74.4,5.3
201207,81.5,7.6
201208,73.7,1.2
201209,64.5,-0.4
201210,51.9,-1.4
201211,-99.0,-139.1
201212,36.6,8.9
201301,27.0,4.9
201302,26.6,-0.4
201303,33.1,-4.4
201304,47.3,-1.7
201305,61.4,1.8
201306,69.0,-0.1
201307,73.6,-0.3
201308,73.5,1.0
201309,67.6,2.7
201310,53.6,0.3
201311,38.0,-2.1
201312,23.9,-3.8
201401,16.3,-5.8
201402,17.9,-9.1
201403,32.2,-5.3
201404,49.0,0.0
201405,60.8,1.2
201406,71.4,2.3
201407,70.8,-3.1
201408,74.1,1.6
201409,64.4,-0.5
201410,52.4,-0.9
201411,34.1,-6.0
201412,32.5,4.8
201501,22.8,0.7
201502,15.2,-11.8
201503,35.9,-1.6
201504,49.8,0.8
201505,60.8,1.2
201506,67.8,-1.3
201507,72.8,-1.1
201508,72.2,-0.3
201509,69.4,4.5
201510,55.2,1.9
201511,45.0,4.9
201512,39.5,11.8
201601,25.2,3.1
201602,30.9,3.9
201603,43.8,6.3
201604,48.2,-0.8
201605,60.2,0.6
201606,72.0,2.9
201607,75.9,2.0
201608,76.3,3.8
201609,70.0,5.1
201610,57.3,4.0
201611,47.3,7.2
201612,25.6,-2.1
201701,29.3,7.2
201702,38.5,11.5
201703,39.5,2.0
201704,53.7,4.7
201705,57.9,-1.7
201706,72.4,3.3
201707,74.6,0.7
201708,71.5,-1.0
201709,69.4,4.5
201710,57.6,4.3
201711,39.7,-0.4
201712,27.3,-0.4
201801,24.8,2.7
201802,28.9,1.9
201803,37.0,-0.5
201804,41.3,-7.7
201805,66.1,6.5
201806,71.5,2.4
201807,76.2,2.3
201808,76.3,3.8
201809,69.0,4.1
201810,52.7,-0.6
201811,34.7,-5.4
201812,33.3,5.6
201901,21.1,-1.0
201902,26.0,-1.0
201903,34.4,-3.1
201904,49.7,0.7
201905,58.0,-1.6
201906,67.8,-1.3
201907,77.1,3.2
201908,72.9,0.4
201909,69.4,4.5
201910,51.7,-1.6
